Current Time,Light Sensor Input,Sound Sensor Input,Start Time
2020-05-11 10:36:30.257062,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:30.353889,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:32.361733,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:34.641125,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:36.737080,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:39.000100,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:41.137440,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:43.382032,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:43.463225,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:45.480099,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:47.724820,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:47.832480,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:49.825088,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:52.104309,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:54.217078,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:56.463404,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:58.560061,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:00.840197,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:00.933472,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:02.953112,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:05.216005,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:07.330830,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:09.596008,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:11.974670,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:13.994030,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:14.086394,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:16.091334,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:18.336842,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:18.429736,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:20.458138,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:22.720947,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:24.818969,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:27.089107,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:27.225697,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:29.202022,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:31.448266,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:33.565149,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:35.828406,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:37.943407,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:40.188800,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:40.285343,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:42.303513,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:44.565535,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:44.682067,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:46.687086,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:48.966133,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:49.093735,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:51.079425,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:51.170079,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:53.325392,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:55.439632,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:57.738341,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:37:59.866878,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:02.128718,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:02.261512,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:04.245834,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:06.515653,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:08.628750,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:10.875324,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:12.993024,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:15.259871,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:17.373835,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:19.636578,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:21.755392,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:23.031163,FALSE,1,2020-05-11 10:31:23.070889
2020-05-11 10:38:23.265713,FALSE,1,2020-05-11 10:31:23.070889
2020-05-11 10:38:23.320844,FALSE,1,2020-05-11 10:31:23.070889
2020-05-11 10:38:24.034172,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:24.165885,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:26.130655,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:28.376563,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:28.468101,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:30.474293,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:32.719856,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:32.808807,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:34.818486,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:37.080254,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:37.207431,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:39.177093,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:41.422452,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:41.499020,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:43.523891,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:45.802768,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:45.891850,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:47.899034,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:50.162554,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:50.289678,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:52.278810,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:54.525275,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:56.627634,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:58.931513,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:38:59.024853,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:01.028857,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:03.274372,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:03.418843,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:05.375687,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:07.621298,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:07.717872,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:09.717463,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:12.105459,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:12.214911,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:14.278718,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:16.648939,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:16.764431,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:18.880916,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:21.211005,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:23.445438,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:25.808296,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:25.934325,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:28.031295,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:30.420463,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:32.633254,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:34.996818,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:37.208594,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:39.559924,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:41.788010,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:44.140476,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:44.239476,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:46.355891,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:48.704474,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:48.793851,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:50.939148,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:53.285027,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:53.380905,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:55.502568,0,0,2020-05-11 10:31:23.070889
